2024-03-08 15:25:02---Start logging COUNTERS---
|-----------|---------|-------------|--------------|----------|----------------|
|           |  Found  |  Processed  |  Sent to db  |   Lost   |  Non_recorded  |
|-----------|---------|-------------|--------------|----------|----------------|
|Batch[1]   |     1892|          659|           659|         0|            1222|
|Batch[2]   |     1214|          785|           785|         0|             389|
|Batch[3]   |     1639|         1636|          1636|         0|              37|
|Batch[4]   |     1665|         1449|          1449|         0|               0|
|Batch[5]   |      526|          528|           527|         1|               0|
|Batch[6]   |     2858|         3089|          3089|         0|               0|
|-----------|---------|-------------|--------------|----------|----------------|
|TOTAL      |     9794|         8146|          8145|         1|            1648|
|-----------|---------|-------------|--------------|----------|----------------|
2024-03-09 21:14:41---End logging COUNTERS---
