---UPDATER COUNTERS---
|-----------|-------------|-------------|--------------|----------|----------------|
|           |  Found new  |  Processed  |  Sent to db  |   Lost   |  Non_recorded  |
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-01-01 |           96|           96|            96|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-02-01 |            6|            6|             6|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-03-01 |            6|            6|             6|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-04-03 |            9|            9|             9|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-05-04 |            2|            2|             2|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-06-02 |            3|            3|             3|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
|2025-08-31 |           25|           25|            25|         0|               0|
|-----------|-------------|-------------|--------------|----------|----------------|
---UPDATER COUNTERS---
